Time,Accelerator pedal operation,Brake lamp,Brake switch,Brake oil pressure,Steering angle,Wiper action,Shift range,Vehicle speed,Longitudinal acceleration,Transversal acceleration,Yaw rate,Longitudinal distance,Relative velocity,Forward object class,Lateral distance,Forward vehicle brake lamp,Forward vehicle turn signal,Longitudinal distance 1,Relative velocity 1,Lateral distance 1,Longitudinal distance 2,Relative velocity 2,Lateral distance 2,Traffic light TTC,Traffic light color,Stop sign,Distance to tall gate,External temperature,A/C fan level,month,day,hour,minute,Road type,Distance to divergence,Position light,Low beam light,High beam light,Engine speed,Coolant temperature,Generator speed,Generator torque,Soc,DCDC current,DCDC voltage,Latitude,Longitude,Drive motor revolution,Drive motor torque
10,,,,,,,,0,-0.014,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,,,0,47.4,,,0,-0.015,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0
50,,,,,,,,0,-0.014,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,0,-0.015,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,0,-0.014,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,,,0,47.5,,1,0,-0.013,0.024,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
150,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,0,-0.014,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,0,,,0,47.4,,1,0,-0.014,0.023,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
250,,,,,,,,0,-0.013,0.022,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,0,-0.014,0.022,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,0,-0.013,0.022,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,0,-0.013,0.022,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,0,1,0,0,47.4,,1,0,-0.014,0.022,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20.5,3,,,,,,,,,,0,59,0,0,78,34,13.15000057,,,0,0
350,,,,,,,,0,-0.014,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,0,-0.014,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,0,,,0,47.5,,1,0,-0.014,0.025,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
450,,,,,,,,0,-0.014,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,0,-0.014,0.026,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,0,-0.014,0.026,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,0,-0.014,0.026,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,0,,,0,47.4,,1,0,-0.014,0.026,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
550,,,,,,,,0,-0.015,0.026,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,,,,,,,,0,-0.014,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,0,-0.014,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,0,,,0,47.4,,1,0,-0.013,0.023,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
650,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,,,,,,,,0,-0.014,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,0,,,0,47.4,,1,0,-0.014,0.023,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
750,,,,,,,,0,-0.014,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,,,,,,,,0,-0.015,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,,,,,,,,0,-0.014,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,,,,,,,,0,-0.014,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,0,1,0,0,47.4,0,1,0,-0.013,0.023,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,20.8,3,4,4,1,28,6,630,0,0,0,0,59,0,0,78,34,13.15000057,35.42255653,139.3166549,0,0
850,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,,,,,,,,0,-0.013,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,,,,,,,,0,-0.013,0.026,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,,,,,,,,0,-0.013,0.027,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,0,,,0,47.4,,1,0,-0.013,0.027,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
950,,,,,,,,0,-0.013,0.027,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,,,,,,,,0,-0.013,0.026,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,,,,,,,,0,-0.014,0.026,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,,,,,0,-0.014,0.025,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,0,,,0,47.5,,1,0,-0.013,0.025,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
1050,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,0,,,0,47.4,,1,0,-0.013,0.024,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
1150,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,,,,,,,,0,-0.013,0.024,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,,,,,,,,0,-0.013,0.023,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,,,,,,,,0,-0.013,0.022,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,0,,,0,47.4,,1,0,-0.014,0.021,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,78,,,,,0,0
1250,,,,,,,,0,-0.014,0.021,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,,,,,,,,0,-0.013,0.021,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,,,,,,,,0,-0.014,0.022,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,,,,,,,,0,-0.014,0.022,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
